,radius_lower,radius_upper,period_lower,period_upper,occurrence,+sigma,-sigma
165,16.0,1000000000.0,500.0,1000000000.0,0.01,0.01,-0.01
166,0.0,0.5,500.0,1000000000.0,0.395,0.395,-0.395
167,12.0,16.0,500.0,1000000000.0,0.01,0.01,-0.01
168,8.0,12.0,500.0,1000000000.0,0.021,0.015,-0.011
169,6.0,8.0,500.0,1000000000.0,0.011,0.011,-0.011
170,4.0,6.0,500.0,1000000000.0,0.032,0.015,-0.015
171,3.0,4.0,500.0,1000000000.0,0.034,0.024,-0.02
172,2.5,3.0,500.0,1000000000.0,0.1,0.059,-0.038
173,2.0,2.5,500.0,1000000000.0,0.059,0.054,-0.036
174,1.75,2.0,500.0,1000000000.0,0.159,0.102,-0.083
175,1.5,1.75,500.0,1000000000.0,0.166,0.119,-0.096
176,1.25,1.5,500.0,1000000000.0,0.1149999999999999,0.1149999999999999,-0.1149999999999999
177,1.0,1.25,500.0,1000000000.0,0.175,0.175,-0.175
178,0.75,1.0,500.0,1000000000.0,0.3,0.3,-0.3
179,0.5,0.75,500.0,1000000000.0,0.395,0.395,-0.395
